# time  ID  size  fromHost  toHost  TTL  isResponse
39490.0000 M434 330632 p18 r73 300 N 
39606.0000 M435 319730 p34 r74 300 N 
39677.0000 M436 496048 p21 r78 300 N 
39758.0000 M437 485910 p25 r77 300 N 
39859.0000 M438 454162 p33 r69 300 N 
39947.0000 M439 176589 p21 r62 300 N 
40041.0000 M440 499680 p55 r78 300 N 
40136.0000 M441 416980 p41 r77 300 N 
40205.0000 M442 481454 p0 r71 300 N 
40265.0000 M443 260096 p48 r68 300 N 
40383.0000 M444 366999 p9 r64 300 N 
40492.0000 M445 436672 p32 r65 300 N 
40561.0000 M446 222125 p43 r78 300 N 
40661.0000 M447 432857 p14 r66 300 N 
40752.0000 M448 351257 p23 r63 300 N 
40856.0000 M449 486275 p54 r79 300 N 
40924.0000 M450 239284 p17 r77 300 N 
41026.0000 M451 237812 p7 r79 300 N 
41129.0000 M452 424308 p57 r71 300 N 
41249.0000 M453 118435 p23 r61 300 N 
41325.0000 M454 154920 p15 r78 300 N 
41411.0000 M455 169999 p55 r66 300 N 
41479.0000 M456 285018 p42 r75 300 N 
41539.0000 M457 252739 p42 r74 300 N 
41601.0000 M458 436311 p57 r79 300 N 
41688.0000 M459 484732 p4 r60 300 N 
41758.0000 M460 281805 p45 r79 300 N 
41863.0000 M461 328257 p36 r60 300 N 
41934.0000 M462 340407 p42 r63 300 N 
42032.0000 M463 259604 p35 r60 300 N 
42124.0000 M464 139313 p43 r64 300 N 
42204.0000 M465 448821 p43 r77 300 N 
42291.0000 M466 214042 p48 r79 300 N 
42411.0000 M467 391531 p20 r66 300 N 
42529.0000 M468 481795 p16 r73 300 N 
42605.0000 M469 360865 p28 r66 300 N 
42723.0000 M470 362776 p37 r77 300 N 
42796.0000 M471 381237 p20 r75 300 N 
42904.0000 M472 245976 p48 r70 300 N 
42985.0000 M473 376496 p42 r66 300 N 
43085.0000 M474 306752 p53 r62 300 N 
43184.0000 M475 412535 p37 r74 300 N 
