# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
20309.0000 M197 360389 2 2296.0000 p21 r70 261 N p21->v84->r70
20310.0000 M206 213521 2 1480.0000 p10 r70 275 N p10->v84->r70
20453.0000 M220 342349 2 357.0000 p32 r66 294 N p32->r79->r66
20453.0000 M209 355562 3 1381.0000 p25 r67 276 N p25->v92->r76->r67
20509.0000 M211 398747 2 1252.0000 p58 r70 279 N p58->v94->r70
20518.0000 M217 163700 2 680.0000 p19 r78 288 N p19->v80->r78
20554.0000 M223 461037 3 237.0000 p25 r74 296 N p25->v89->v88->r74
20634.0000 M187 144663 2 3482.0000 p49 r69 241 N p49->v83->r69
20718.0000 M171 428356 2 4945.0000 p6 r61 217 N p6->p53->r61
20767.0000 M221 142012 2 603.0000 p54 r79 289 N p54->v82->r79
20852.0000 M207 328983 1 1943.0000 p9 r75 267 N p9->r75
20875.0000 M224 378417 2 494.0000 p46 r72 291 N p46->v91->r72
20877.0000 M200 488494 3 2616.0000 p7 r72 256 N p7->p24->v91->r72
20932.0000 M226 152162 2 362.0000 p16 r64 293 N p16->r73->r64
20981.0000 M204 274198 3 2376.0000 p49 r62 260 N p49->v89->p8->r62
21420.0000 M222 186020 2 1181.0000 p12 r72 280 N p12->v84->r72
21521.0000 M235 392374 2 170.0000 p27 r69 297 N p27->v80->r69
21539.0000 M218 422400 3 1581.0000 p28 r61 273 N p28->p7->v86->r61
21920.0000 M225 195190 3 1425.0000 p54 r76 276 N p54->r61->p25->r76
22053.0000 M229 341584 3 1191.0000 p16 r65 280 N p16->v81->v90->r65
22509.0000 M227 315431 2 1823.0000 p56 r77 269 N p56->v83->r77
22716.0000 M241 117535 2 837.0000 p44 r66 286 N p44->v87->r66
22753.0000 M228 369275 3 1961.0000 p54 r67 267 N p54->p25->p36->r67
22775.0000 M230 362016 2 1811.0000 p30 r67 269 N p30->p47->r67
22812.0000 M219 443446 2 2790.0000 p27 r72 253 N p27->r76->r72
22898.0000 M236 390526 2 1462.0000 p29 r63 275 N p29->v90->r63
22939.0000 M248 265923 3 385.0000 p3 r65 293 N p3->p46->v91->r65
22966.0000 M245 444134 3 692.0000 p30 r64 288 N p30->p21->v93->r64
23338.0000 M249 310373 3 707.0000 p6 r67 288 N p6->v86->r68->r67
23605.0000 M231 187590 2 2534.0000 p42 r79 257 N p42->v94->r79
23606.0000 M252 172401 2 712.0000 p48 r79 288 N p48->v94->r79
23668.0000 M253 468557 3 706.0000 p9 r60 288 N p9->r78->p17->r60
23698.0000 M244 402483 1 1526.0000 p2 r77 274 N p2->r77
23792.0000 M257 108828 3 546.0000 p26 r79 290 N p26->p18->v87->r79
23864.0000 M246 468796 1 1486.0000 p49 r62 275 N p49->r62
24014.0000 M256 116716 2 852.0000 p39 r68 285 N p39->v84->r68
24040.0000 M240 382284 2 2234.0000 p37 r74 262 N p37->p27->r74
24109.0000 M263 194566 3 339.0000 p7 r66 294 N p7->p14->v87->r66
24216.0000 M237 337596 2 2691.0000 p43 r63 255 N p43->p21->r63
24239.0000 M254 215113 3 1211.0000 p55 r74 279 N p55->r62->v83->r74
24332.0000 M242 454019 2 2358.0000 p29 r60 260 N p29->v92->r60
24341.0000 M259 145378 3 948.0000 p20 r64 284 N p20->v82->v81->r64
24458.0000 M251 468125 2 1646.0000 p18 r64 272 N p18->p26->r64
24784.0000 M264 214214 2 919.0000 p37 r64 284 N p37->v85->r64
24983.0000 M272 248249 3 326.0000 p21 r70 294 N p21->p16->v82->r70
25024.0000 M273 144856 2 264.0000 p57 r78 295 N p57->v84->r78
25031.0000 M274 383852 2 175.0000 p32 r70 297 N p32->v87->r70
25033.0000 M266 396588 3 981.0000 p22 r70 283 N p22->p59->v87->r70
25056.0000 M233 159583 3 3851.0000 p13 r67 235 N p13->r62->v85->r67
25162.0000 M250 113664 3 2444.0000 p49 r68 259 N p49->v85->v87->r68
25165.0000 M271 114101 2 614.0000 p9 r71 289 N p9->v82->r71
25196.0000 M275 336005 2 260.0000 p3 r77 295 N p3->v83->r77
25213.0000 M262 200996 2 1559.0000 p26 r62 274 N p26->r64->r62
25429.0000 M238 403414 2 3804.0000 p22 r78 236 N p22->v86->r78
25522.0000 M258 143263 1 2199.0000 p9 r79 263 N p9->r79
25574.0000 M276 440922 3 523.0000 p25 r61 291 N p25->p51->p34->r61
25613.0000 M278 160383 2 341.0000 p7 r68 294 N p7->v90->r68
25621.0000 M234 304606 2 4334.0000 p10 r77 227 N p10->v80->r77
25732.0000 M268 441872 3 1460.0000 p40 r76 275 N p40->v93->v94->r76
25756.0000 M284 206220 1 1.0000 p49 r64 299 N p49->r64
25770.0000 M265 440247 2 1837.0000 p57 r61 269 N p57->v92->r61
25788.0000 M277 358894 2 618.0000 p58 r78 289 N p58->v88->r78
25861.0000 M243 422950 1 3800.0000 p10 r73 236 N p10->r73
25967.0000 M255 312937 2 2877.0000 p10 r75 252 N p10->r72->r75
26002.0000 M279 454254 2 649.0000 p13 r78 289 N p13->v80->r78
26214.0000 M269 186112 2 1873.0000 p55 r67 268 N p55->v92->r67
26384.0000 M270 444816 2 1935.0000 p12 r65 267 N p12->p4->r65
26389.0000 M281 479955 2 852.0000 p3 r71 285 N p3->v92->r71
26407.0000 M232 102210 2 5269.0000 p18 r63 212 N p18->v93->r63
