# time  ID  size  fromHost  toHost  TTL  isResponse
17614.0000 HM386 387702 p7 r61 300 N 
17673.0000 HM387 206674 p19 r68 300 N 
17726.0000 HM388 352849 p28 r61 300 N 
17768.0000 HM389 446200 p48 r70 300 N 
17798.0000 HM390 472234 p21 r71 300 N 
17831.0000 HM391 109749 p29 r67 300 N 
17874.0000 HM392 411495 p32 r63 300 N 
17918.0000 HM393 399362 p8 r69 300 N 
17959.0000 HM394 268105 p36 r68 300 N 
18019.0000 HM395 483738 p25 r73 300 N 
18063.0000 HM396 216380 p38 r78 300 N 
18117.0000 HM397 265025 p44 r75 300 N 
18150.0000 HM398 162734 p25 r78 300 N 
18191.0000 HM399 224466 p21 r61 300 N 
18227.0000 HM400 304854 p53 r79 300 N 
18261.0000 HM401 234569 p45 r67 300 N 
18308.0000 HM402 191654 p50 r78 300 N 
18342.0000 HM403 431378 p43 r72 300 N 
18384.0000 HM404 193943 p56 r73 300 N 
18435.0000 HM405 173567 p52 r60 300 N 
18489.0000 HM406 452820 p26 r60 300 N 
18536.0000 HM407 493024 p56 r78 300 N 
18584.0000 HM408 379899 p43 r67 300 N 
18623.0000 HM409 300527 p46 r72 300 N 
18679.0000 HM410 315786 p25 r76 300 N 
18714.0000 HM411 280769 p23 r69 300 N 
18766.0000 HM412 437253 p16 r79 300 N 
18798.0000 HM413 174940 p4 r68 300 N 
18846.0000 HM414 310152 p39 r60 300 N 
18883.0000 HM415 385843 p56 r62 300 N 
18921.0000 HM416 257772 p56 r68 300 N 
18961.0000 HM417 317878 p24 r61 300 N 
19015.0000 HM418 374203 p48 r77 300 N 
19069.0000 HM419 494202 p41 r73 300 N 
19106.0000 HM420 343515 p17 r61 300 N 
19152.0000 HM421 490004 p36 r78 300 N 
19184.0000 HM422 183403 p13 r78 300 N 
19241.0000 HM423 396013 p54 r75 300 N 
19300.0000 HM424 227432 p46 r76 300 N 
19341.0000 HM425 214704 p39 r60 300 N 
19387.0000 HM426 324395 p42 r70 300 N 
19433.0000 HM427 217454 p55 r60 300 N 
19486.0000 HM428 187456 p51 r66 300 N 
19518.0000 HM429 362860 p27 r70 300 N 
19564.0000 HM430 466754 p8 r69 300 N 
19620.0000 HM431 169086 p55 r71 300 N 
19668.0000 HM432 117721 p51 r73 300 N 
19715.0000 HM433 233364 p35 r72 300 N 
19746.0000 HM434 450545 p25 r75 300 N 
19804.0000 HM435 106219 p12 r77 300 N 
19839.0000 HM436 491966 p16 r64 300 N 
19879.0000 HM437 291635 p55 r77 300 N 
19929.0000 HM438 346096 p20 r75 300 N 
19973.0000 HM439 263007 p10 r79 300 N 
20020.0000 HM440 184758 p59 r74 300 N 
20068.0000 HM441 362014 p53 r66 300 N 
20102.0000 HM442 423902 p57 r66 300 N 
20132.0000 HM443 158942 p33 r69 300 N 
20191.0000 HM444 276534 p5 r68 300 N 
20246.0000 HM445 331188 p55 r79 300 N 
20280.0000 HM446 384980 p18 r71 300 N 
20330.0000 HM447 442827 p47 r74 300 N 
20375.0000 HM448 229066 p43 r73 300 N 
20427.0000 HM449 445508 p59 r61 300 N 
20461.0000 HM450 188580 p2 r76 300 N 
20512.0000 HM451 256103 p57 r78 300 N 
20564.0000 HM452 481696 p2 r68 300 N 
20624.0000 HM453 407647 p9 r72 300 N 
20662.0000 HM454 130298 p2 r63 300 N 
20705.0000 HM455 266887 p13 r63 300 N 
20739.0000 HM456 123235 p52 r78 300 N 
20769.0000 HM457 267162 p57 r66 300 N 
20800.0000 HM458 413113 p20 r76 300 N 
20843.0000 HM459 151634 p41 r71 300 N 
20878.0000 HM460 410202 p19 r68 300 N 
20931.0000 HM461 421801 p53 r73 300 N 
20966.0000 HM462 224590 p47 r65 300 N 
21015.0000 HM463 106883 p30 r68 300 N 
21061.0000 HM464 249624 p19 r71 300 N 
21101.0000 HM465 248939 p8 r74 300 N 
21144.0000 HM466 375171 p44 r68 300 N 
21204.0000 HM467 478414 p34 r70 300 N 
21263.0000 HM468 339918 p22 r62 300 N 
21301.0000 HM469 257769 p53 r79 300 N 
21360.0000 HM470 359392 p17 r61 300 N 
21396.0000 HM471 163925 p2 r77 300 N 
21450.0000 HM472 274133 p23 r73 300 N 
21490.0000 HM473 270335 p30 r63 300 N 
21540.0000 HM474 492098 p10 r64 300 N 
21590.0000 HM475 183808 p13 r62 300 N 
21646.0000 HM476 159195 p4 r64 300 N 
21687.0000 HM477 347223 p57 r77 300 N 
21746.0000 HM478 352696 p52 r79 300 N 
21803.0000 HM479 157080 p29 r72 300 N 
21833.0000 HM480 182445 p52 r70 300 N 
21866.0000 HM481 276340 p53 r79 300 N 
21899.0000 HM482 233943 p27 r65 300 N 
21949.0000 HM483 120485 p49 r68 300 N 
21990.0000 HM484 219009 p41 r73 300 N 
22024.0000 HM485 240685 p45 r63 300 N 
22056.0000 HM486 430054 p51 r60 300 N 
22114.0000 HM487 319478 p15 r60 300 N 
22162.0000 HM488 331976 p23 r79 300 N 
22193.0000 HM489 305567 p32 r75 300 N 
22231.0000 HM490 232317 p42 r65 300 N 
22281.0000 HM491 362048 p39 r61 300 N 
22319.0000 HM492 314233 p45 r71 300 N 
22372.0000 HM493 419657 p43 r72 300 N 
22410.0000 HM494 284496 p4 r68 300 N 
22459.0000 HM495 121974 p20 r71 300 N 
22492.0000 HM496 317655 p8 r65 300 N 
22547.0000 HM497 498477 p59 r74 300 N 
22599.0000 HM498 195016 p45 r71 300 N 
22645.0000 HM499 195670 p30 r78 300 N 
22695.0000 HM500 249625 p42 r60 300 N 
22774.0000 HM502 283367 p11 r60 300 N 
22818.0000 HM503 488368 p39 r69 300 N 
22849.0000 HM504 133277 p49 r62 300 N 
22879.0000 HM505 480341 p41 r75 300 N 
22922.0000 HM506 105737 p48 r63 300 N 
22974.0000 HM507 483992 p24 r64 300 N 
23025.0000 HM508 337454 p19 r75 300 N 
23060.0000 HM509 353209 p30 r61 300 N 
23094.0000 HM510 182828 p20 r71 300 N 
23131.0000 HM511 468784 p13 r62 300 N 
23172.0000 HM512 420873 p6 r79 300 N 
23206.0000 HM513 190257 p49 r78 300 N 
23236.0000 HM514 110023 p26 r71 300 N 
23277.0000 HM515 439368 p24 r75 300 N 
23309.0000 HM516 189281 p6 r74 300 N 
23345.0000 HM517 113573 p58 r64 300 N 
23381.0000 HM518 351947 p32 r79 300 N 
23422.0000 HM519 200440 p35 r60 300 N 
23464.0000 HM520 152799 p37 r78 300 N 
23539.0000 HM522 268283 p34 r66 300 N 
23597.0000 HM523 269780 p38 r66 300 N 
23654.0000 HM524 219310 p4 r79 300 N 
23688.0000 HM525 212023 p44 r64 300 N 
23727.0000 HM526 207412 p37 r78 300 N 
23777.0000 HM527 188085 p52 r63 300 N 
23807.0000 HM528 193964 p45 r78 300 N 
23854.0000 HM529 139554 p20 r69 300 N 
23909.0000 HM530 490377 p8 r77 300 N 
23963.0000 HM531 427982 p51 r66 300 N 
23994.0000 HM532 227866 p35 r75 300 N 
24032.0000 HM533 349569 p45 r78 300 N 
24064.0000 HM534 147150 p49 r72 300 N 
24109.0000 HM535 450462 p35 r71 300 N 
24168.0000 HM536 466095 p11 r75 300 N 
24222.0000 HM537 315789 p29 r78 300 N 
24275.0000 HM538 163340 p54 r78 300 N 
24328.0000 HM539 240845 p11 r78 300 N 
24368.0000 HM540 394680 p58 r77 300 N 
24428.0000 HM541 241212 p8 r78 300 N 
24462.0000 HM542 363530 p42 r78 300 N 
24496.0000 HM543 488175 p36 r69 300 N 
24537.0000 HM544 387062 p52 r68 300 N 
24581.0000 HM545 197090 p15 r71 300 N 
24621.0000 HM546 409342 p16 r70 300 N 
24665.0000 HM547 242416 p11 r70 300 N 
24722.0000 HM548 172121 p39 r61 300 N 
24766.0000 HM549 440156 p16 r60 300 N 
24808.0000 HM550 114921 p55 r67 300 N 
24857.0000 HM551 277387 p17 r78 300 N 
24889.0000 HM552 272293 p2 r66 300 N 
24946.0000 HM553 131681 p15 r63 300 N 
25004.0000 HM554 277952 p49 r74 300 N 
25034.0000 HM555 411945 p10 r71 300 N 
25083.0000 HM556 194647 p14 r71 300 N 
25143.0000 HM557 159477 p8 r73 300 N 
25176.0000 HM558 424006 p48 r73 300 N 
25210.0000 HM559 231471 p40 r75 300 N 
25243.0000 HM560 143608 p38 r71 300 N 
25301.0000 HM561 305867 p20 r70 300 N 
25345.0000 HM562 299004 p48 r79 300 N 
25404.0000 HM563 450819 p11 r72 300 N 
25436.0000 HM564 311386 p24 r65 300 N 
25487.0000 HM565 457650 p12 r76 300 N 
25536.0000 HM566 103744 p27 r75 300 N 
25582.0000 HM567 380666 p23 r72 300 N 
25631.0000 HM568 424363 p55 r66 300 N 
25664.0000 HM569 320589 p30 r73 300 N 
25694.0000 HM570 243272 p4 r76 300 N 
25798.0000 HM572 283218 p9 r70 300 N 
25855.0000 HM573 137834 p38 r61 300 N 
25909.0000 HM574 164330 p58 r70 300 N 
25953.0000 HM575 324003 p12 r70 300 N 
26011.0000 HM576 259642 p54 r73 300 N 
26042.0000 HM577 490989 p55 r60 300 N 
26092.0000 HM578 281011 p8 r79 300 N 
26137.0000 HM579 422374 p3 r63 300 N 
26188.0000 HM580 340923 p58 r75 300 N 
26244.0000 HM581 461994 p55 r60 300 N 
26279.0000 HM582 114189 p15 r79 300 N 
26333.0000 HM583 347855 p9 r77 300 N 
26363.0000 HM584 270975 p53 r71 300 N 
26407.0000 HM585 343100 p41 r66 300 N 
26439.0000 HM586 295604 p54 r69 300 N 
