# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
24199.0000 M272 114868 1 124.0000 p32 r64 297 N p32->r64
24268.0000 M264 263073 2 851.0000 p36 r67 285 N p36->v89->r67
24324.0000 M242 244056 3 2793.0000 p40 r66 253 N p40->r65->r79->r66
24442.0000 M266 112093 2 850.0000 p32 r76 285 N p32->v94->r76
24506.0000 M269 118605 2 668.0000 p21 r62 288 N p21->v81->r62
24628.0000 M248 324175 1 2605.0000 p34 r61 256 N p34->r61
24662.0000 M254 452026 1 2078.0000 p59 r72 265 N p59->r72
24685.0000 M270 314974 1 763.0000 p12 r73 287 N p12->r73
24706.0000 M223 417135 2 4776.0000 p24 r76 220 N p24->v81->r76
24786.0000 M258 359903 2 1887.0000 p12 r60 268 N p12->p15->r60
24791.0000 M251 340773 1 2523.0000 p18 r66 257 N p18->r66
24982.0000 M259 385946 3 2014.0000 p48 r75 266 N p48->r79->v92->r75
24991.0000 M277 359312 2 536.0000 p36 r60 291 N p36->v89->r60
25232.0000 M265 377750 3 1705.0000 p27 r61 271 N p27->r63->p24->r61
25280.0000 M282 394881 2 342.0000 p16 r73 294 N p16->v90->r73
25406.0000 M286 168443 1 155.0000 p56 r63 297 N p56->r63
25578.0000 M279 240400 2 914.0000 p45 r67 284 N p45->v81->r67
25622.0000 M287 130636 3 289.0000 p8 r63 295 N p8->r64->v88->r63
25626.0000 M255 477609 3 2961.0000 p58 r68 250 N p58->r65->p24->r68
25875.0000 M290 456047 3 268.0000 p5 r74 295 N p5->p8->v82->r74
25877.0000 M261 358391 2 2695.0000 p55 r74 255 N p55->v82->r74
25909.0000 M278 449468 3 1360.0000 p58 r71 277 N p58->v90->v85->r71
25995.0000 M273 491670 1 1855.0000 p0 r74 269 N p0->r74
26042.0000 M283 222733 3 1039.0000 p44 r63 282 N p44->r77->r79->r63
26156.0000 M281 431861 3 1308.0000 p36 r71 278 N p36->p56->v81->r71
26388.0000 M285 434468 2 1207.0000 p3 r78 279 N p3->v88->r78
26464.0000 M275 398186 2 2158.0000 p28 r70 264 N p28->v82->r70
26472.0000 M291 397788 3 758.0000 p46 r75 287 N p46->p47->v92->r75
26543.0000 M263 247842 2 3228.0000 p24 r77 246 N p24->v85->r77
26588.0000 M300 196314 2 115.0000 p12 r64 298 N p12->p14->r64
26793.0000 M289 339864 1 1263.0000 p15 r65 278 N p15->r65
26806.0000 M280 238911 3 2077.0000 p42 r70 265 N p42->p40->v91->r70
26807.0000 M293 140270 2 923.0000 p22 r70 284 N p22->v91->r70
26813.0000 M301 148818 3 277.0000 p25 r76 295 N p25->p26->v84->r76
26839.0000 M288 414692 2 1403.0000 p33 r67 276 N p33->v85->r67
26842.0000 M260 119460 1 3758.0000 p54 r66 237 N p54->r66
26885.0000 M274 323463 2 2642.0000 p51 r71 255 N p51->p40->r71
26914.0000 M239 495679 2 5576.0000 p52 r77 207 N p52->p12->r77
27167.0000 M307 151056 2 133.0000 p49 r71 297 N p49->r75->r71
27337.0000 M268 473962 2 3572.0000 p37 r75 240 N p37->v94->r75
27904.0000 M294 382912 2 1930.0000 p59 r79 267 N p59->v81->r79
28082.0000 M298 269428 2 1822.0000 p12 r63 269 N p12->v83->r63
28106.0000 M276 320468 3 3732.0000 p31 r60 237 N p31->p19->v91->r60
28191.0000 M271 442830 2 4184.0000 p20 r66 230 N p20->p24->r66
28291.0000 M284 463112 2 3183.0000 p25 r65 246 N p25->v86->r65
28436.0000 M317 320630 2 544.0000 p36 r73 290 N p36->v89->r73
28439.0000 M302 399280 1 1807.0000 p16 r73 269 N p16->r73
28643.0000 M311 218953 2 1258.0000 p39 r73 279 N p39->v82->r73
28712.0000 M296 298056 2 2575.0000 p10 r62 257 N p10->v84->r62
28785.0000 M299 480316 2 2425.0000 p4 r60 259 N p4->p16->r60
28891.0000 M324 475068 2 366.0000 p28 r73 293 N p28->v80->r73
28932.0000 M309 191667 2 1714.0000 p49 r77 271 N p49->p25->r77
28955.0000 M326 432226 2 257.0000 p9 r72 295 N p9->p0->r72
28965.0000 M292 397992 2 3163.0000 p23 r66 247 N p23->v92->r66
29009.0000 M312 416734 3 1550.0000 p42 r62 274 N p42->p1->p12->r62
29011.0000 M267 265488 3 5335.0000 p20 r62 211 N p20->p55->p12->r62
29118.0000 M323 328359 2 704.0000 p17 r69 288 N p17->r74->r69
29265.0000 M314 103896 1 1615.0000 p7 r65 273 N p7->r65
29300.0000 M333 427696 1 2.0000 p45 r69 299 N p45->r69
29513.0000 M330 140364 2 483.0000 p33 r77 291 N p33->v87->r77
29602.0000 M321 214807 2 1380.0000 p55 r77 277 N p55->v81->r77
29623.0000 M320 247384 3 1503.0000 p44 r67 274 N p44->p24->r66->r67
29638.0000 M322 416894 3 1327.0000 p59 r67 277 N p59->v91->r60->r67
29640.0000 M319 340952 2 1580.0000 p54 r68 273 N p54->v86->r68
29745.0000 M305 436793 2 2862.0000 p22 r60 252 N p22->v94->r60
29795.0000 M303 108229 2 3078.0000 p28 r66 248 N p28->p18->r66
29838.0000 M337 406099 1 247.0000 p1 r68 295 N p1->r68
29937.0000 M295 426344 2 3868.0000 p39 r66 235 N p39->v82->r66
30010.0000 M342 221375 1 1.0000 p0 r78 299 N p0->r78
30047.0000 M315 216381 2 2317.0000 p54 r63 261 N p54->v86->r63
30115.0000 M339 497599 2 354.0000 p59 r62 294 N p59->v92->r62
30137.0000 M313 231806 2 2573.0000 p40 r76 257 N p40->v86->r76
30159.0000 M328 160289 2 1300.0000 p9 r79 278 N p9->v92->r79
30271.0000 M308 181312 2 3141.0000 p10 r69 247 N p10->p38->r69
30571.0000 M341 248815 2 646.0000 p6 r69 289 N p6->v86->r69
30734.0000 M327 292309 2 1964.0000 p19 r70 267 N p19->r68->r70
30749.0000 M329 176231 1 1828.0000 p17 r70 269 N p17->r70
30825.0000 M297 324579 2 4627.0000 p36 r64 222 N p36->p51->r64
30879.0000 M343 341547 3 761.0000 p57 r66 287 N p57->p26->v81->r66
30933.0000 M334 487137 2 1572.0000 p8 r67 273 N p8->p24->r67
31046.0000 M340 288060 3 1215.0000 p29 r65 279 N p29->p20->v92->r65
31238.0000 M325 173182 3 2621.0000 p29 r68 256 N p29->p24->v94->r68
31276.0000 M336 134364 2 1769.0000 p23 r77 270 N p23->v90->r77
31338.0000 M347 232374 1 867.0000 p12 r69 285 N p12->r69
31366.0000 M355 272250 2 196.0000 p1 r70 296 N p1->v86->r70
31507.0000 M351 283852 2 713.0000 p37 r79 288 N p37->p15->r79
31748.0000 M338 198118 2 2055.0000 p10 r69 265 N p10->v92->r69
31760.0000 M349 188064 3 1134.0000 p43 r60 281 N p43->r75->v90->r60
31795.0000 M348 479688 3 1250.0000 p33 r72 279 N p33->p50->p5->r72
31859.0000 M354 299662 2 775.0000 p1 r79 287 N p1->v88->r79
31868.0000 M360 191657 3 254.0000 p24 r74 295 N p24->p29->v86->r74
31875.0000 M344 478767 2 1695.0000 p43 r72 271 N p43->v93->r72
31888.0000 M353 412686 3 919.0000 p4 r74 284 N p4->p10->v93->r74
32002.0000 M359 215916 3 452.0000 p47 r76 292 N p47->p44->v82->r76
32079.0000 M335 135333 2 2654.0000 p9 r72 255 N p9->p11->r72
32135.0000 M306 481846 3 5181.0000 p30 r67 213 N p30->p46->v91->r67
32290.0000 M310 256109 1 4986.0000 p16 r67 216 N p16->r67
32357.0000 M358 314660 2 907.0000 p22 r68 284 N p22->v83->r68
32455.0000 M364 333739 2 462.0000 p45 r61 292 N p45->v88->r61
32510.0000 M332 130586 2 3283.0000 p36 r75 245 N p36->p7->r75
32644.0000 M318 108700 2 4654.0000 p26 r75 222 N p26->r69->r75
32822.0000 M362 436580 1 976.0000 p42 r61 283 N p42->r61
32843.0000 M370 485526 2 307.0000 p30 r62 294 N p30->v80->r62
32879.0000 M371 377463 2 249.0000 p40 r68 295 N p40->v81->r68
32889.0000 M331 459185 2 3753.0000 p40 r77 237 N p40->r67->r77
32910.0000 M357 492838 2 1579.0000 p32 r61 273 N p32->r70->r61
32921.0000 M361 402085 3 1193.0000 p19 r62 280 N p19->p47->p33->r62
32975.0000 M368 483993 1 580.0000 p17 r73 290 N p17->r73
33091.0000 M352 261437 2 2222.0000 p12 r70 262 N p12->v92->r70
33288.0000 M345 416575 2 3023.0000 p47 r79 249 N p47->p6->r79
33289.0000 M369 234727 2 832.0000 p44 r67 286 N p44->v89->r67
33320.0000 M378 372041 1 67.0000 p41 r78 298 N p41->r78
